GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Synthesizer,fr.istic.groupimpl.synthesizer.oscilloscope.jsyn,JsynOscilloCircuit,197,0,12,0,39,0,13,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.linein,ControllerLineIn,27,0,0,0,8,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.linein,ModelLineIn,19,0,0,0,6,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.linein,ViewLineIn,37,0,0,0,9,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.player.jsyn,PlayerGate,0,117,0,14,0,33,0,14,0,7
Synthesizer,fr.istic.groupimpl.synthesizer.player.jsyn,PlayerGate.State,21,29,0,0,1,5,2,2,2,2
Synthesizer,fr.istic.groupimpl.synthesizer.io.architecture,Connection,24,0,0,0,10,0,7,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.io.architecture,Module,67,0,0,0,23,0,14,0,14,0
Synthesizer,fr.istic.groupimpl.synthesizer.io.architecture,Type,50,0,0,0,6,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.io.architecture,Configuration,51,0,0,0,18,0,9,0,9,0
Synthesizer,fr.istic.groupimpl.synthesizer.io.architecture,Port,38,0,0,0,16,0,11,0,11,0
Synthesizer,fr.istic.groupimpl.synthesizer.util,DoubleDuodecimalStringConverter,17,233,7,24,5,46,7,12,0,3
Synthesizer,fr.istic.groupimpl.synthesizer.util,Oscilloscope.HistMax,12,0,0,0,5,0,1,0,1,0
Synthesizer,fr.istic.groupimpl.synthesizer.util,Potentiometre,852,0,34,0,165,0,36,0,19,0
Synthesizer,fr.istic.groupimpl.synthesizer.util,DebugJFXTools,248,0,16,0,36,0,11,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.util,OscilloscopeFactory,12,31,0,0,6,11,3,8,3,8
Synthesizer,fr.istic.groupimpl.synthesizer.util,SignalUtil,18,59,5,11,9,20,8,7,3,4
Synthesizer,fr.istic.groupimpl.synthesizer.util,PotentiometreFactory,155,0,6,0,57,0,28,0,25,0
Synthesizer,fr.istic.groupimpl.synthesizer.util,Oscilloscope,702,101,46,4,126,24,30,5,7,3
Synthesizer,fr.istic.groupimpl.synthesizer.util,Potentiometre.new ChangeListener() {...},10,0,0,0,4,0,2,0,2,0
Synthesizer,fr.istic.groupimpl.synthesizer.util,DoubleStringConverter,28,0,2,0,8,0,4,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.component,ModelComponent,32,13,2,0,8,4,4,1,3,1
Synthesizer,fr.istic.groupimpl.synthesizer.component,ViewComponent,669,0,36,0,123,0,36,0,18,0
Synthesizer,fr.istic.groupimpl.synthesizer.component,ControllerComponent,71,0,4,0,18,0,6,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.echo,ControllerEcho,65,0,0,0,16,0,6,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.echo,ViewEcho,136,0,0,0,34,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.echo,ModelEcho,34,0,0,0,11,0,7,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.keyboard.jsyn,JSynKeyboard,0,69,0,4,0,16,0,8,0,6
Synthesizer,fr.istic.groupimpl.synthesizer.oscilloscope,ControllerOscillo,45,0,0,0,13,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.oscilloscope,ModelOscillo,29,0,0,0,8,0,6,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.oscilloscope,ViewOscillo,90,0,0,0,20,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.eg,ModelEg,4,57,0,0,1,16,1,8,1,8
Synthesizer,fr.istic.groupimpl.synthesizer.eg,ControllerEg,55,0,0,0,16,0,7,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.eg,ViewEg,184,0,0,0,40,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.vca.jsyn,JSynVCA,0,119,0,4,0,23,0,9,0,7
Synthesizer,fr.istic.groupimpl.synthesizer.recorder.jsyn,Recorder,0,80,0,4,0,23,0,8,0,6
Synthesizer,fr.istic.groupimpl.synthesizer.whitenoise,ViewWhiteNoise,37,0,0,0,9,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.whitenoise,ControllerWhiteNoise,27,0,0,0,8,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.whitenoise,ModelWhiteNoise,24,0,0,0,7,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.io,FileUtil,90,0,0,0,22,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.out.jsyn,JsynOutCircuit,0,53,0,0,0,13,0,4,0,4
Synthesizer,fr.istic.groupimpl.synthesizer.rep.jsyn,JsynRepCircuit,3,102,1,7,1,22,1,7,0,4
Synthesizer,fr.istic.groupimpl.synthesizer.out,ViewOut,116,0,0,0,28,0,6,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.out,ModelOut,4,23,0,0,1,8,1,4,1,4
Synthesizer,fr.istic.groupimpl.synthesizer.out,ControllerOut,47,0,2,0,15,0,6,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.cable,Cable,131,0,0,0,27,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.cable,Cable.ComputeDistance,69,0,0,0,6,0,2,0,2,0
Synthesizer,fr.istic.groupimpl.synthesizer.keyboard,ModelKeyboard,71,0,0,0,20,0,8,0,8,0
Synthesizer,fr.istic.groupimpl.synthesizer.keyboard,ControllerKeyboard,76,0,8,0,26,0,9,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.keyboard,ViewKeyboard,54,0,0,0,12,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.logger,Log,55,24,0,0,20,8,10,5,10,5
Synthesizer,fr.istic.groupimpl.synthesizer.recorder,ModelRecorder,67,0,0,0,21,0,8,0,8,0
Synthesizer,fr.istic.groupimpl.synthesizer.recorder,ViewRecorder.ChronometreTimer,38,0,0,0,9,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.recorder,ViewRecorder,152,0,4,0,37,0,11,0,9,0
Synthesizer,fr.istic.groupimpl.synthesizer.recorder,ControllerRecorder,53,0,0,0,16,0,7,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.vca,ControllerVca,38,0,0,0,11,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.vca,ViewVca,103,0,0,0,25,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.vca,ModelVca,13,46,4,6,3,10,6,6,2,4
Synthesizer,fr.istic.groupimpl.synthesizer.eg.jsyn,JsynEnvelopeADSR,109,364,13,33,27,85,13,21,2,7
Synthesizer,fr.istic.groupimpl.synthesizer.eg.jsyn,JsynEnvelopeADSR.State,5,75,0,0,0,12,1,3,1,3
Synthesizer,fr.istic.groupimpl.synthesizer.global,ModelGlobal,141,158,19,5,36,44,21,10,10,9
Synthesizer,fr.istic.groupimpl.synthesizer.global,ControllerGlobal.InteractionMode,80,0,0,0,12,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.global,ViewGlobal.new ListChangeListener() {...},31,0,4,0,7,0,4,0,2,0
Synthesizer,fr.istic.groupimpl.synthesizer.global,ControllerGlobal,909,0,75,0,230,0,75,0,31,0
Synthesizer,fr.istic.groupimpl.synthesizer.global,ViewGlobal,910,0,46,0,231,0,75,0,52,0
Synthesizer,fr.istic.groupimpl.synthesizer.global,ViewGlobal.ChronometreTimer,21,0,0,0,4,0,2,0,2,0
Synthesizer,fr.istic.groupimpl.synthesizer.vcf.jsyn,JsynVcfCircuit,3,143,1,2,1,30,2,7,1,6
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ViewMixer2Ports,12,0,0,0,5,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ViewMixer.new ChangeListener() {...},43,0,4,0,11,0,5,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ControllerMixer,60,0,0,0,16,0,6,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ModelMixer,128,0,8,0,35,0,16,0,12,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ViewMixer4Ports,12,0,0,0,5,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ViewMixerInput,46,0,0,0,14,0,6,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer,ViewMixer,228,0,2,0,41,0,13,0,12,0
Synthesizer,fr.istic.groupimpl.synthesizer.rep,ControllerRep,33,0,0,0,9,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.rep,ModelRep,48,0,6,0,13,0,8,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.rep,ViewRep,56,0,0,0,14,0,6,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.player,ModelPlayer,4,75,0,0,1,22,1,8,1,8
Synthesizer,fr.istic.groupimpl.synthesizer.player,ControllerPlayer,74,0,2,0,20,0,7,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.player,ViewPlayer,78,0,2,0,22,0,10,0,9,0
Synthesizer,fr.istic.groupimpl.synthesizer.seq,ControllerSeq,52,0,0,0,13,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.seq,ViewSeq,190,0,2,0,48,0,7,0,6,0
Synthesizer,fr.istic.groupimpl.synthesizer.seq,ModelSeq,43,0,0,0,13,0,7,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.seq.jsyn,JsynSequencerCircuit,131,0,8,0,30,0,11,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.seq.jsyn,JsynSequencerCircuit.State,50,0,0,0,6,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.vco,ModelVco,94,29,10,0,22,8,13,3,7,3
Synthesizer,fr.istic.groupimpl.synthesizer.vco,ControllerVco,66,0,0,0,19,0,7,0,7,0
Synthesizer,fr.istic.groupimpl.synthesizer.vco,ViewVco,221,0,0,0,42,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.mixer.jsyn,Mixer,0,185,0,10,0,32,0,13,0,8
Synthesizer,fr.istic.groupimpl.synthesizer.mixer.jsyn,MixerSum,0,168,0,10,0,31,0,11,0,6
Synthesizer,fr.istic.groupimpl.synthesizer.util.jsyn,JsynFrequencyModulation,0,103,0,2,0,19,0,8,0,7
Synthesizer,fr.istic.groupimpl.synthesizer.util.jsyn,JsynAttenuationFilter,0,94,1,5,0,24,1,10,0,8
Synthesizer,fr.istic.groupimpl.synthesizer,App,47,0,0,0,14,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ControllerVcf,42,0,0,0,12,0,5,0,5,0
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ModelVcf,8,30,0,0,2,10,2,6,2,6
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ModelVcf.Type,5,45,0,0,0,6,1,3,1,3
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ViewVcfHP,57,0,0,0,18,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ViewVcf,120,0,0,0,19,0,3,0,3,0
Synthesizer,fr.istic.groupimpl.synthesizer.vcf,ViewVcfLP,57,0,0,0,18,0,4,0,4,0
Synthesizer,fr.istic.groupimpl.synthesizer.vco.jsyn,SelectFrom3Input,0,123,0,6,0,27,0,11,0,7
Synthesizer,fr.istic.groupimpl.synthesizer.vco.jsyn,VCOCircuit,0,247,0,0,0,40,0,12,0,12
Synthesizer,fr.istic.groupimpl.synthesizer.echo.jsyn,JsynEchoCircuit,163,0,4,0,31,0,8,0,6,0
